Year,Events
1831:,November Uprising ends with crushing defeat for Poland in the Battle of Warsaw.
1831:,"On August 22, Nat Turner and a band of rebels led an insurrection in Southhampton County, Virginia. The rebellion was put to an end two days later. As many as two hundred African Americans, including innocent victims, lost their lives as a result.[6]"
1831–1833:,Egyptian–Ottoman War.
1831:,Second phase of Padri War. (to 1838)
1832:,The British Parliament passes the Great Reform Act.
1833:,Slavery Abolition Act bans slavery throughout the British Empire.
1833:,General Trades Union founded in New York City
1833–1876:,Carlist Wars in Spain.
1834:,The German Customs Union is formed.
1834:,Spanish Inquisition officially ends.
1834:,Britain amends the Poor Law demanding that any paupers requesting assistance must go to a workhouse.
1834–1859:,Imam Shamil's rebellion in Russian-occupied Caucasus.
1835–1836:,The Texas Revolution in Mexico resulted in the short-lived Republic of Texas.
1836:,Battle of the Alamo ends with defeat for Texan separatists.
1836:,Battle of San Jacinto leads to the capture of General Santa Anna.
1836:,Samuel Colt popularizes the revolver and sets up a firearms company to manufacture his invention of the Colt Paterson revolver a six bullets firearm shot one by one without reloading manually.
1836–1839:,"War of the Confederation begins between Chile and the Peru-Bolivian Confederation, ending with Chilean victory."
1837:,Telegraphy patented.
1837:,Charles Dickens publishes Oliver Twist.
1837:,Death of Alexander Pushkin.
1837–1838:,Rebellions of 1837 in Canada.
1837–1901:,Queen Victoria's reign is considered the apex of the British Empire and is referred to as the Victorian era.
1838:,"By this time, 46,000 Native Americans have been forcibly relocated in the Trail of Tears."
1838–1840:,"Civil war in the Federal Republic of Central America led to the foundings of Guatemala, El Salvador, Honduras, Nicaragua, and Costa Rica."
1839:,Kingdom of Belgium declared.
1839–1851:,Uruguayan Civil War.
1839–1860:,"After the First and Second Opium Wars, France, the United Kingdom, the United States and Russia gain many trade and associated concessions from China resulting in the start of the decline of the Qing dynasty."
1839–1919:,Anglo-Afghan Wars lead to stalemate and the establishment of the Durand line.
1840:,"New Zealand is founded, as the Treaty of Waitangi is signed by the Māori and British."
1840:,Upper and Lower Canada are merged into the Province of Canada.
1841:,"The word ""dinosaur"" is coined by Richard Owen."
1841:,William Henry Harrison is the first US president to die in office
1842:,Treaty of Nanking cedes Hong Kong to the British.
1842:,Anaesthesia used for the first time.
1842:,The Coal Mines Act forbade the use of boys younger than ten and women in the mines.
1843:,The first wagon train sets out from Missouri.
